scholar_id,url_picture,name,affiliation,email_domain,interests,citedby,Country Ranking,World Rank,Country,Institution
_Yxi7iUAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=_Yxi7iUAAAAJ,Aristeidis Karalis,Massachusetts Institute of Technology,@mit.edu,"['[ex.patents: Citations=10600', 'h=13 & i10=13 (Jul2023)]', 'Wireless power transmission', 'Photonics', 'Plasmonics']",36535,1,1,USA,Massachusetts Institute of Technology - MIT
wVY7w-QAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=wVY7w-QAAAAJ,Darrell J. Irvine,Massachusetts Institute of Technology,@mit.edu,['Immune Engineering'],35688,1,1,USA,Massachusetts Institute of Technology - MIT
pzT_DS8AAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=pzT_DS8AAAAJ,James B. Orlin,"Professor, Massachusetts Institute of Technology",@mit.edu,"['algorithms', 'operations research', 'computer science']",35403,1,1,USA,Massachusetts Institute of Technology - MIT
uzFFOy8AAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=uzFFOy8AAAAJ,carl wunsch,"massachusetts institute of technology, Harvard University",@mit.edu,"['physical oceanograpy', 'paloeclimate', 'climate']",35022,1,1,USA,Massachusetts Institute of Technology - MIT
gZ-RhocAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=gZ-RhocAAAAJ,Linda Griffith,"Professor of Biological Engineering, Massachusetts Institute of Technology",@mit.edu,"['bioengineering', 'systems biology', 'tissue engineering', 'organs on chips']",34967,1,1,USA,Massachusetts Institute of Technology - MIT
gEBFbiQAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=gEBFbiQAAAAJ,Richard D. Braatz,"Edwin R. Gilliland Professor, Massachusetts Institute of Technology",@mit.edu,"['Systems Theory', 'Systems and Control Theory', 'Fault Diagnosis', 'Manufacturing Processes', 'Manufacturing Systems']",31826,1,1,USA,Massachusetts Institute of Technology - MIT
d9BOsKgAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=d9BOsKgAAAAJ,Laurie A. Boyer,"Professor, Massachusetts Institute of Technology",@mit.edu,"['chromatin', 'gene regulation', 'genomics', 'stem cells', 'heart development']",31615,1,1,USA,Massachusetts Institute of Technology - MIT
k_bHA4QAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=k_bHA4QAAAAJ,Robert C. Stalnaker,"Professor Emeritus of Philosophy, Massachusetts Institute of Technology",@mit.edu,"['Philosophy', 'Philosophy of Language', 'Metaphysics', 'Epistemology']",31129,1,1,USA,Massachusetts Institute of Technology - MIT
_R5-N7oAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=_R5-N7oAAAAJ,John Marshall,Massachusetts Institute of Technology,@mit.edu,['Ocean'],30809,1,1,USA,Massachusetts Institute of Technology - MIT
eFGnK9QAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=eFGnK9QAAAAJ,Emilio Bizzi,Massachusetts Institute of Technology,@mit.edu,['Neuroscience'],30430,1,1,USA,Massachusetts Institute of Technology - MIT
0WadBQYAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=0WadBQYAAAAJ,Gregory C Rutledge,"Professor, Massachusetts Institute of Technology",@mit.edu,"['Polymers', 'Molecular Modeling', 'Nanofibers']",30178,1,1,USA,Massachusetts Institute of Technology - MIT
a8jIPIkAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=a8jIPIkAAAAJ,Vinod Vaikuntanathan,"Professor of Computer Science, Massachusetts Institute of Technology",@csail.mit.edu,"['Cryptography', 'Distributed Algorithms', 'Complexity Theory']",28750,1,1,USA,Massachusetts Institute of Technology - MIT
ekOjIjIAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=ekOjIjIAAAAJ,John H Lienhard V,"Professor of Mechanical Engineering, Massachusetts Institute of Technology",@mit.edu,"['Desalination', 'Thermodynamics', 'Water', 'Heat & Mass Transfer', 'Convection']",28462,1,1,USA,Massachusetts Institute of Technology - MIT
